Author,Year,Month,Effect,P-value,n,Power,,Comparison,Stimuli,Emotion,Presentation,Task,Contrast,At Rest,Hemisphere,Method,Sample,Ancestry,Age,MF,HWE
Hariri et al.2,2002,7,0.973,0.012,28,17,12,Negative-Shape,Faces,FearAnger,Unmasked,Explicit,Shape,No,Right,fMRI,Control,European,31,29,Y
Furmark et al.9,2004,5,0.791,0.104,17,12,9,Other (public speaking),NA,NA,NA,NA,NA,No,Right,PET,Patient,European,NA,53,N
Bertolino et al.3,2005,6,0.177,0.645,28,16,11,Negative-Shape,Faces,FearAnger,Unmasked,Explicit,Shape,No,Right,fMRI,Patient,European,34,36,Y
Canli et al.4,2005,8,-0.985,0.004,41,21,14,Negative-Neutral,Words,Negative,Unmasked,Incidental,Fixation,No,Right,fMRI,Control,European,NA,46,Y
Hariri et al.6,2005,2,0.597,0.01,92,41,25,Negative-Shape,Faces,FearAnger,Unmasked,Explicit,Shape,No,Right,fMRI,Control,European,31,49,Y
Heinz et al.7,2005,1,0.669,0.094,29,16,11,Negative-Neutral,Pictures,Aversive,Unmasked,Passive,Neutral Image,No,Right,fMRI,Control,European,40,100,Y
Brown and Hariri25,2006,3,0.633,0.024,55,29,19,Negative-Shape,Faces,FearAnger,Unmasked,Explicit,Shape,No,NA,fMRI,Control,European,45,40,Y
Canli et al.27,2006,10,1.4,0.004,21,14,10,Other (resting state ASL),NA,NA,NA,NA,NA,Yes,Bilateral,Perfusion MR,Control,Other,30,67,N
Domschke et al.10,2006,6,0.278,0.538,20,13,9,Fearful-Neutral,Faces,Fear,Unmasked,Passive,Neutral Image,No,Right,fMRI,Patient,European,37,40,Y
Dannlowski et al.5,2007,10,1.118,0.018,27,13,10,Negative-Neutral,Faces,Anger,Unmasked,Passive,Neutral Image,No,Right,fMRI,Patient,European,37,26,Y
Rao et al.8,2007,9,0.863,0.03,26,17,11,Other (resting state ASL),NA,NA,NA,NA,NA,Yes,Right,Perfusion MR,Control,European,20,50,N
Canli et al.26,2008,9,0.411,0.182,49,24,16,Fearful-Fixation,Faces,Fear,Unmasked,Incidental,Fixation,No,Left,fMRI,Control,Other,24,51,Y
Dannlowski et al.11 controls,2008,1,0.567,0.243,28,12,9,Negative-Neutral,Faces,Anger,Masked,Passive,Neutral Image,No,Bilateral,fMRI,Control,European,37,36,Y
Dannlowski et al.11 patients,2008,1,0.486,0.257,28,14,10,Negative-Neutral,Faces,Anger,Masked,Passive,Neutral Image,No,Bilateral,fMRI,Patient,European,39,46,Y
Lee and Ham32,2008,11,-0.933,0.002,54,27,18,Angry-Neutral,Faces,Anger,Unmasked,Passive,Neutral Image,No,Right,fMRI,Control,Other,23,0,Y
Surguladze et al.35,2008,7,0.256,0.546,29,14,10,Fearful-Fixation,Faces,Fear,Unmasked,Incidental,Fixation,No,Right,fMRI,Control,European,37,59,Y
