collection,first_cases,last_cases,record review,mean_enrol,sd_enrol,mean_onset,sd_onset,family history,first_con,last_con,screened,con_mean_enrol,con_sd_enrol,ascertainment,diagnosis,criteria,i_scan,i_scid,i_opcrit,i_digs,i_clinical_exam,e_sip,e_gmc,e_sa,e_mr,e_cog,e_iq<70,e_hi,e_bipolar,e__mr,con_a_blood_donors,con_a_online_panel,con_a_general_practice,con_a_staff,con_a_national_registry,con_a_ads,con_i_none,con_i_brief_questionnaire,con_i_not_screened,con_i_medical_bipolar,con_i_scid,con_i_interviewna,con_e_none,con_e_rx,con_e_chronic_illness,con_e_ld,con_e_hi,con_e_hospitalization_sz,con_e_sa,con_e_bipolar,con_e_mr,con_e_nd,cases submitted,cases after qc filter 1,cases after qc filter 2,cases analyzed,controls submitted,controls after qc filter 1,controls after qc filter 2,controls analyzed,snps submitted,snps analyzed,lambda (pre-qc),lambda (post-qc),"lambda (post-qc, imput, & covar)",lambda 1000 (pre-qc),lambda 1000 (post-qc),"lambda 1000 (post-qc, imput, & covar)",used_interview,systematic_training,systematic_accuracy,reliability_trials,review_information,best_procedure,specific_utilized,mds_determination,special_diagnostician
Cardiff UK,1990,2003,yes,44,8,23,8,0.26,2004,2005,no,median,44,"inpatients, outpatients",SZ,DSM-IV,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CATIE,2001,2005,yes,41,3,14,6,NA,2004,2007,yes,41,5,"inpatients, outpatients",SZ,DSM-IV,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,417,410,402,402,411,391,207,207,447544,384528,1.091,1.085,1.008,1.22,1.212,1.029,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
ISC - Aberdeen,1997,2006,yes,40,0,23,9,0.3,2001,2006,yes,41,0,"inpatients, outpatients",SZ,Other,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,720,720,720,720,702,699,698,698,369998,362461,1.088,1.082,1.079,1.124,1.116,1.111,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ISC - Cardiff,1999,2005,yes,36,8,24,5,0.18,2004,2005,no,49,1,Other,SZ,DSM-IV,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,528,527,527,527,611,609,609,609,681054,654278,1.017,1.017,1.033,1.03,1.03,1.058,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
ISC - Dublin,2000,2005,yes,45,4,24,7,NA,2004,2005,no,NA,NA,"inpatients, outpatients",SZ,Other,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,275,272,270,270,866,860,860,860,680931,642723,1.014,1.016,1.028,1.034,1.039,1.068,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ISC - Edinburgh,1986,2006,yes,42,2,24,3,0.28,1994,2006,no,43,5,"inpatients, outpatients",SZ,DSM-IV,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,369,368,368,368,287,284,284,284,683732,646310,1.035,1.039,1.036,1.108,1.122,1.112,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
ISC - London,1983,2006,yes,45,3,23,6,0.19,1994,2006,yes,38,1,Other,SZ,Other,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,523,521,518,518,505,494,491,491,298972,277652,1.039,1.022,1.013,1.076,1.043,1.026,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
ISC - Portugal,1995,2002,yes,39,9,23,2,0.19,1995,2002,yes,41,5,Other,Other,DSM-IV,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,347,346,346,346,216,216,215,215,368394,333136,1.057,1.049,1.065,1.214,1.184,1.245,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ISC - SW1,2005,2009,yes,52,0,33,4,0.095,2005,2009,yes,50,1,Other,SZ,DSM-IV,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,170,168,168,168,170,167,167,167,369016,330113,1.014,1.014,1.022,1.082,1.084,1.131,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ISC - SW2,2005,2009,yes,55,8,34,0,0.064,2005,2009,yes,54,4,Other,SZ,DSM-IV,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,390,390,390,390,230,229,229,229,681932,661602,1.053,1.051,1.059,1.183,1.177,1.204,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
MGS,1989,2008,yes,43,0,21,4,0.29,2004,2007,yes,50,6,Other,Other,DSM-IV,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2681,2681,2679,2679,2653,2653,2484,2484,655360,638937,1.139,1.139,1.076,1.052,1.052,1.029,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SGENE - Bonn,1992,2002,yes,34,1,21,9,0.3,2003,2009,no,50,4,Other,SZ,DSM-IV,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,479,479,474,474,1310,1305,1304,1304,498027,494953,1.056,1.055,1.044,1.08,1.078,1.063,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SGENE - Copenhagen,2003,2009,yes,41,3,26,7,0.11,2005,NA,yes,42,3,Other,Other,Other,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,492,491,482,482,468,458,457,457,539454,533191,1.042,1.044,1.026,1.088,1.093,1.055,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
SGENE - Munich,1997,2010,yes,37,9,23,6,0.3,1997,2010,yes,51,3,"inpatients, outpatients",SZ,DSM-IV,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,437,437,434,434,351,351,351,351,295628,295593,1.055,1.055,1.017,1.141,1.141,1.044,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
